average_watts_fully_utilized,average_watts_active_idle,no_of_cores,threads_per_core,processor_speed,memory,network_controllers,power_supplies_installed ,power_supply_rating,HW_available_date,HW_available_full_date,reference_age_months,age_months
118,56.7,4,1,2833,4,2,1,220,Apr-08,01/04/2008,63,134
170,86,8,1,2500,8,2,1,460,Oct-08,01/10/2008,69,128
385,48.2,56,2,2500,192,1,1,850,Sep-18,01/09/2018,188,9
1417,193,224,2,2100,768,1,0,0,Jan-19,01/01/2019,192,5
315,69.4,16,2,2200,24,2,1,700,May-12,01/05/2012,112,85
125,35.4,4,2,2933,8,2,1,450,Mar-10,01/03/2010,86,111
58,21.5,4,2,2400,8,1,1,200,Sep-11,01/09/2011,104,93
267,76.9,12,2,2933,12,1,1,720,Jun-10,01/06/2010,89,108
124,39.6,4,2,2933,8,2,1,400,Mar-10,01/03/2010,86,111
272,73.6,12,2,2933,12,1,1,700,Jun-10,01/06/2010,89,108
197,88.1,8,2,2400,8,4,1,720,May-10,01/05/2010,88,109
325,99.6,12,2,2300,128,2,1,920,May-12,01/05/2012,112,85
409,103,16,2,2400,128,2,1,920,May-12,01/05/2012,112,85
254,81.9,12,2,2500,32,2,1,920,May-12,01/05/2012,112,85
307,94.9,32,1,2300,32,2,1,720,Jan-12,01/01/2012,108,89
273,86.7,24,1,2200,16,2,1,720,Oct-10,01/10/2010,93,104
368,109,24,2,2200,64,1,1,1600,May-13,01/05/2013,124,73
667,134,32,2,2700,32,1,1,1600,Jan-13,01/01/2013,120,77
581,149,64,1,2500,64,1,1,1400,Nov-12,01/11/2012,118,79
584,127,64,1,2400,64,1,1,1400,Jun-12,01/06/2012,113,84
786,186,64,1,2400,256,1,1,1400,Jun-12,01/06/2012,113,84
779,187,64,1,2300,256,1,1,1400,Sep-11,01/09/2011,104,93
713,177,64,1,2300,256,1,1,1400,Sep-11,01/09/2011,104,93
588,130,64,1,2300,64,1,1,1400,Jan-12,01/01/2012,108,89
518,143,48,1,2200,32,1,1,1400,Aug-10,01/08/2010,91,106
95.4,49.6,4,1,2833,4,1,1,450,Dec-09,01/12/2009,83,114
102,21.3,4,2,3400,8,1,1,450,Apr-11,01/04/2011,99,98
70.2,31.9,6,1,1800,8,1,1,450,Oct-10,01/10/2010,93,104
244,65.4,12,2,2933,12,1,1,560,Jun-10,01/06/2010,89,108
193,88.5,8,2,2400,8,2,1,720,May-10,01/05/2010,88,109
414,96.6,16,2,2400,128,4,1,920,May-12,01/05/2012,112,85
323,96,12,2,2300,128,4,1,920,May-12,01/05/2012,112,85
409,103,16,2,2400,128,4,1,920,May-12,01/05/2012,112,85
1016,282,48,2,3067,96,2,0,0,Feb-11,01/02/2011,97,100
1275,331,64,2,2200,128,1,0,0,Sep-12,01/09/2012,116,81
1700,364,64,2,2600,512,2,0,0,Sep-12,01/09/2012,116,81
597,205,24,2,2933,24,2,0,1400,Jul-10,01/07/2010,90,107
254,121,8,2,2930,8,2,1,600,Mar-09,01/03/2009,74,123
258,72.4,16,2,2200,24,2,1,460,May-13,01/05/2013,124,73
215,52.9,16,2,2200,32,4,1,460,Apr-13,01/04/2013,123,74
316,71.5,16,2,2200,24,2,1,750,May-13,01/05/2013,124,73
195,125,8,1,2667,8,2,1,650,Sep-08,01/09/2008,68,129
269,155,8,1,3000,16,2,1,650,Nov-07,01/11/2007,58,139
206,135,8,1,2667,8,2,1,750,Sep-08,01/09/2008,68,129
219,56.1,16,2,2000,24,1,1,750,May-13,01/05/2013,124,73
196,81.4,8,2,2266,8,2,1,720,Dec-09,01/12/2009,83,114
267,76.9,12,2,2933,12,1,1,720,Jun-10,01/06/2010,89,108
265,76.5,12,2,2933,12,1,1,720,Jun-10,01/06/2010,89,108
125,39.6,4,2,2933,8,2,1,400,Mar-10,01/03/2010,86,111
272,73.3,12,2,2933,12,1,1,700,Jun-10,01/06/2010,89,108
198,88.2,8,2,2400,8,4,1,720,May-10,01/05/2010,88,109
273,86.5,24,1,2200,16,2,1,720,Oct-10,01/10/2010,93,104
524,192,48,1,1900,32,1,1,1400,Jul-10,01/07/2010,90,107
571,185,48,1,2300,32,1,1,1400,Feb-11,01/02/2011,97,100
94.5,47.7,4,1,2833,4,1,1,450,Dec-09,01/12/2009,83,114
102,21.4,4,2,3400,8,1,1,450,Apr-11,01/04/2011,99,98
70.3,32,6,1,1800,8,1,1,450,Oct-10,01/10/2010,93,104
245,65.5,12,2,2933,12,1,1,560,Jun-10,01/06/2010,89,108
127,34.6,4,2,2933,8,2,1,450,Mar-10,01/03/2010,86,111
192,87.7,8,2,2400,8,2,1,720,May-10,01/05/2010,88,109
257,78.4,12,2,2933,12,1,1,720,Jun-10,01/06/2010,89,108
386,145,16,2,2266,16,2,0,1200,Dec-09,01/12/2009,83,114
1014,269,48,2,3067,96,2,0,0,Feb-11,01/02/2011,97,100
748,260,32,2,2266,32,2,0,1400,Jan-10,01/01/2010,84,113
1111,284,96,1,2200,64,1,0,0,Aug-10,01/08/2010,91,106
353,213,8,4,3000,16,2,1,750,Jan-08,01/01/2008,60,137
334,173,8,2,2930,18,2,1,750,Apr-09,01/04/2009,75,122
247,60.4,12,2,2933,12,4,1,502,Jul-10,01/07/2010,90,107
261,59.5,16,2,2200,24,2,1,450,Mar-12,01/03/2012,110,87
276,164,4,1,2400,16,2,2,700,Sep-07,01/09/2007,56,141
131,832,4,1,3200,16,1,1,500,May-14,01/05/2014,136,61
227,62.2,12,2,3066,24,2,1,570,Feb-11,01/02/2011,97,100
244,143,8,1,2833,8,2,1,670,Mar-08,01/03/2008,62,135
254,147,8,1,2833,16,2,1,750,Mar-08,01/03/2008,62,135
276,157,8,1,2833,16,2,1,750,Nov-07,01/11/2007,58,139
672,194,48,2,2500,96,1,0,0,Jan-13,01/01/2013,120,77
895,227,48,2,3067,64,1,0,0,Sep-11,01/09/2011,104,93
573,106,64,1,2600,64,1,0,0,Feb-13,01/02/2013,121,76
1105,196,128,1,2500,128,1,0,0,Feb-13,01/02/2013,121,76
226,143,8,1,2500,8,2,1,670,May-08,01/05/2008,64,133
1256,228,144,2,2300,256,1,0,0,Jun-15,01/06/2015,149,48
6854,1773,512,2,2300,768,1,0,0,May-12,01/05/2012,112,85
4026,713,256,2,2300,384,2,0,0,Jun-12,01/06/2012,113,84
4078,732,384,2,2300,256,2,0,0,Oct-12,01/10/2012,117,80
